id,feature,donor_ref,description,survey_coverage,disposition,area,owners,canonical,planning_notes
F077,Bank accounts + transactions,`Game/DaggerfallBankManager.cs`,"Regional accounts, deposits/withdrawals, letters of credit, ship/house settlement.",Absent — no currency/banking state,M,9,"D,K",F077,"Regional accounts, cash/letters of credit, deposits/withdrawals, transfers and ship/house payments."
F078,Loan issuance + default,`Game/LoanChecker.cs`,"Loan tracking, repayment deadlines, default/reputation consequences.",Absent — no loan state,M,9,D,F078,"Loan issuance, due dates, repayments/default and reputation consequences using shared game time."
F079,Quest runtime (machine),"`Game/Questing/QuestMachine.cs`, `QuestListsManager.cs`, `QuestMCP.cs`","Instantiates, schedules, ticks, serializes live quests; loads compiled packs.",Absent — no quest runtime (`Facts/ProductFacts.cs` covers combat/loot facts only),A,11,"D,K",F079,Quest start/update/end and durable instance lifecycle inside admitted updates; not donor singleton/scheduler topology.
F080,Compiled quest instance,"`Game/Questing/Quest.cs`, `QuestResource.cs`, `QuestAction.cs`","Runtime quest object with tasks, symbols, resources, action state machine.",Absent — no quest instance model,M,11,D,F080,"Task/condition/resource/symbol state, completion/failure and save reconstruction; expand quest inventory."
F081,Quest script parser,`Game/Questing/Parser.cs`,Parses classic QRC/QBN quest source into tasks/conditions/actions.,Absent — no quest-source parsing,A,11,"I,D,P",F081,"Normalize existing quest language/source semantics offline; compile handlers in ruleset, no new general gameplay DSL."
F082,Quest tasks + clock,"`Game/Questing/Task.cs`, `Clock.cs`",Task transitions with quest-clock timing.,Absent — `Kit/Progression/ProgressionState.cs` tracks XP/level only,M,11,D,F082,"Task transitions and elapsed-time deadlines, ordering, cancellation and save/restore."
F083,Quest places + persons,"`Game/Questing/Place.cs`, `Person.cs`",Symbolic dungeon/building and NPC resources resolved to world sites.,Absent — no quest anchors,M,11,"D,K",F083,Bind place/person resources to location/building/NPC identities and normalized markers; persistent relocation/cleanup.
F084,Quest foes + items,"`Game/Questing/Foe.cs`, `Item.cs`",Spawnable enemy parties and symbolic quest items with placement/tracking.,Absent — foes/items exist only as static combat/loot content,M,11,"D,K",F084,"Foe/item resources, pre-spawn queued operations, ownership, death/loot/reward and removal through shared operations."
F085,Quest messages + symbols,"`Game/Questing/Message.cs`, `Symbol.cs`",Text resources with macro expansion and shared symbol table.,Absent — no message/symbol tables,M,11,"D,P",F085,"Quest message records and scoped symbols, choices and macro inputs; no hardcoded quest dialogue."
F086,Quest action library,"`Game/Questing/Actions/` (~80 opcodes: `Say.cs`, `EndQuest.cs`, `GivePc.cs`, `JournalNote.cs`, `CreateFoe.cs`, …)","One class per quest opcode (dialogue, rewards, spawns, reputation, journals).",Absent — no quest opcodes,M,11,D,F086,Every candidate action is enumerated in quest-content-inventory.md with domain prerequisites and disposition.
F087,Quest macro expansion,`Utility/QuestMacroHelper.cs`,Quest-scoped `%` macro resolution layered over global macro helper.,Absent — no macro expansion,M,11,D,F087,Quest-scoped macro context layered over shared text values; deterministic missing-symbol diagnostics.
F088,NPC talk engine,`Game/TalkManager.cs`,"Rumor/news/work/quest dialogue tree, reactions, talk-session state.",Absent — no dialogue engine,M,9,"D,U",F088,"Talk session, NPC reaction, topics, directions, rumors/work and quest bindings with text/macros."
F089,Talk mod-protocol compat,`Game/TalkManagerMCP.cs`,Mod-message-path exposure of talk topics/responses.,Absent — no talk surface,X,9,D,F089,DFU talk mod-message protocol excluded; ordinary talk behavior remains F088.
F090,Text table manager,`Game/TextManager.cs`,Loads TEXT.RSC string tables; serves UI/quest/book strings.,Absent — no string-table loading,M,3,"I,P,D",F090,TEXT.RSC records normalized offline; lookup by stable text identity at runtime.
F091,Global macro expansion,"`Utility/MacroHelper.cs`, `MacroDataSource.cs`, `IMacroContextProvider.cs`",`%pcn`/`%g`/date/faction macros expanded against player/world context.,Absent — outcome strings hardcoded in `Rulesets.Daggerfall/Presentation/DaggerfallOutcomePresentation.cs`,M,9,D,F091,Player/date/location/faction/item macro values with explicit context and supported substitutions.
F092,Text provider chain,"`Utility/TextProvider.cs`, `DefaultTextProvider.cs`, `FallbackTextProvider.cs`",Pluggable text-source chain with mod override and classic fallback.,Absent — no provider chain,A,3,"D,P",F092,Normalized text lookup and defined missing-text behavior; mod/provider chain topology is not required.
F093,Grammar + string import,"`Localization/Grammar.cs`, `DefaultGrammarRules.cs`, `DaggerfallStringTableImporter.cs`",Pluralization/grammar rules and editor string-table import.,Absent — no localization pipeline,A,3,"I,P,D,U",F093,Base-language grammar/text presentation and source string import; localization expansion remains a recorded option.
F094,Localized books,`Game/LocalizedBook.cs`,Book-record wrapper resolving localized page text for reader window.,Absent — no book text,A,9,"I,P,D,U",F094,Book records/pages and reader actions; preserve selected base-language content without Unity localized wrappers.
F095,UI root + messages + factory,"`Game/DaggerfallUI.cs`, `DaggerfallUIMessages.cs`, `UserInterfaceWindows/UIWindowFactory.cs`, `UserInterface/UserInterfaceManager.cs`","Window stack/mode manager, `UIMessage` routing, factory, base input/render loop.","Partial — structured values + action wire only (`Kit/Presentation/UiValueBuilder.cs`, `Kit/Presentation/PresentationState.cs`, `Rulesets.Daggerfall/Presentation/DaggerfallUiAction.cs`)",A,12,"D,K,U,H",F095,"Existing projection/action transport; game modes, modal choices and input consequences via explicit composition."
F096,Base window + widget kit,"`Game/UserInterfaceWindows/DaggerfallBaseWindow.cs`, `Game/UserInterface/Panel.cs`, `Button.cs`, `TextLabel.cs`, `ListBox.cs`, `PaperDoll.cs`","Retained-mode classic widgets (panels, buttons, labels, scrollers, paper doll, HUD components).","Partial — no widget kit; thin DOM projection via `src/ui`, `Kit/Presentation/SpriteAtlasAdapter.cs`",A,12,"U,D",F096,Adapt required controls/workflows to DOM; exclude Unity widget/window hierarchy and factory replication.
F097,HUD,`Game/UserInterfaceWindows/DaggerfallHUD.cs`,"In-world HUD: vitals, compass, crosshair, active spells, interaction mode, escorts.",Partial — resource/XP/outcome projection in `Rulesets.Daggerfall/Presentation/DaggerfallHudProjection.cs`,E,12,"D,U",F097,"Resource rows, compass, crosshair, status effects, interaction mode and relevant followers/escorts."
F098,Inventory window,`Game/UserInterfaceWindows/DaggerfallInventoryWindow.cs`,"Grid inventory, equipment slots, drag/drop, wagon access, info popups.","Partial — grid + equipment projection + TS view (`Rulesets.Daggerfall/Presentation/DaggerfallInventoryPresentation.cs`, `src/ui/inventory.ts`)",A,5,"D,U",F044,Same inventory workflows as F044; do not create a second window implementation.
F099,Character sheet window,`Game/UserInterfaceWindows/DaggerfallCharacterSheetWindow.cs`,"Attributes, skills, level/XP, reputation, history display.","Partial — read-only projection + TS view (`Rulesets.Daggerfall/Presentation/DaggerfallCharacterPresentation.cs`, `src/ui/character.ts`)",E,5,"D,U",F099,"Extend current sheet with career, live/permanent values, advancement, reputation and history as owners land."
F100,Outcome / message popups,"`Game/UserInterfaceWindows/DaggerfallMessageBox.cs`, `DaggerfallQuestPopupWindow.cs`, `DaggerfallPopupWindow.cs`","Modal message, quest-offer, generic popup text display.","Partial — message text only, no windows (`Rulesets.Daggerfall/Presentation/DaggerfallOutcomePresentation.cs`, `src/ui/loot.ts`)",A,12,"D,U",F100,"Messages, modal choice/confirmation, quest offers and journal notifications from typed product state/actions."
F101,Spellbook + magic crafting,"`Game/UserInterfaceWindows/DaggerfallSpellBookWindow.cs`, `DaggerfallSpellMakerWindow.cs`, `DaggerfallUseMagicItemWindow.cs`","Known spells/casting, custom spell maker, magic-item activation.",Absent — no spellbook/maker state,A,10,"D,U",F036,Spellbook/maker/use-magic-item workflows belong to the F036 family.
F102,Rest window,`Game/UserInterfaceWindows/DaggerfallRestWindow.cs`,"Timed rest/loiter with encounter, healing, spell-recharge outcomes.",Absent — no rest mechanic,A,8,"D,U",F102,"Rest/loiter choices, duration and interruption/outcome projections over shared rest operations."
F103,Travel system windows,"`Game/UserInterfaceWindows/DaggerfallTravelMapWindow.cs`, `DaggerfallTransportWindow.cs`, `DaggerfallTravelPopUp.cs`, `DaggerfallTeleportPopUp.cs`","Region travel map, ship/horse/cart choice, teleport confirmation.",Absent — no travel UI,A,8,"D,U",F103,"Travel destination/options/cost/duration, transport and teleport confirmation over shared world operations."
F104,Guild/bank/merchant service windows,"`Game/UserInterfaceWindows/DaggerfallGuildService*.cs`, `DaggerfallBankingWindow.cs`, `DaggerfallMerchantServicePopupWindow.cs`, `DaggerfallMerchantRepairPopupWindow.cs`","Training, donations, disease cure, banking, merchant repair menus.",Absent — no service windows,A,9,"D,U",F104,Guild/bank/trade/repair eligibility and transactions; UI cannot substitute fake service results.
F105,Talk / quest / tavern / court windows,"`Game/UserInterfaceWindows/DaggerfallTalkWindow.cs`, `DaggerfallQuestJournalWindow.cs`, `DaggerfallQuestOfferWindow.cs`, `DaggerfallTavernWindow.cs`, `DaggerfallCourtWindow.cs`","Talk topics, journal log, quest offers, tavern rooms, court fines.",Absent — no dialogue/quest UI,A,9,"D,U",F105,Talk/offer/journal/tavern/court actions and outcomes; quest views depend selectively on area 11.
F106,Trade / automap / book / craft windows,"`Game/UserInterfaceWindows/DaggerfallTradeWindow.cs`, `DaggerfallAutomapWindow.cs`, `DaggerfallExteriorAutomapWindow.cs`, `DaggerfallBookReaderWindow.cs`, `DaggerfallPotionMakerWindow.cs`, `DaggerfallItemMakerWindow.cs`, `DaggerfallDaedraSummonedWindow.cs`","Shop trade, interior/exterior automaps, book reader, alchemy, Daedric item maker, summoning days.","Absent — shop/automap/crafting UI missing (`src/sprite-ui` is a sprite tool, not game UI)",A,12,"D,U,E",F106,"Trade/maps/books/crafting/summoning workflows attached to their area 8/9/10 owners, not a giant UI task."
F107,Character creation chain + wizards,"`Game/UserInterfaceWindows/CreateChar*.cs` (race, gender, class Q&A, custom class, bonuses, face, bio, summary), `DaggerfallStartNewGameWizard.cs`, `DaggerfallUnitySetupGameWizard.cs`",Full classic chargen flow plus new-game/setup wizards.,Absent — no chargen; fixed `PrivateersHoldContent.cs` player definition only,A,5,"D,U,H",F107,Full creation choices/custom class/bio/summary/new game; exclude DFU installation/setup wizard.
F108,Content-reader singleton bootstrap,`DaggerfallUnity.cs`,Central singleton wiring all Arena2 readers and global game state.,Partial — session composition instead via `Host/WorldRpgProduct.cs` + `Rulesets.Daggerfall/DaggerfallSession.cs`,X,3,"I,H",F108,Exclude content-reader singleton bootstrap; reuse offline Import and admitted pack composition.
F109,Application paths and Arena2 setup,`DaggerfallUnityApplication.cs`,"App paths, persistent-data setup, Arena2 source resolution.",Partial — source hashes/paths recorded offline in `content/worldrpg/imports/privateers-hold/import-manifest.json`; no runtime path resolver,X,3,"I,H",F109,Exclude Arena2 installation/app-path distribution setup; local source selection belongs to offline tooling.
F110,Top-level game orchestration,`Game/GameManager.cs`,"Singleton owning player, streaming world, dungeon/interior setup, per-frame dispatch.",Partial — admitted-update stepping in `Rulesets.Daggerfall/DaggerfallSession.cs` + `Host/WorldRpgProduct.cs`,X,2,"H,D",F110,Exclude donor GameManager/global orchestration topology; extend existing Host/session when behavior requires.
F111,UI/game state machine,`Game/StateManager.cs`,"Event-driven `StateTypes` stack (UI windows, game modes) with change events.",Partial — quiescent-boundary state capture in `DaggerfallSession.cs`; no UI state stack,A,2,"H,D,K",F111,Required play/menu/pause/death transitions and input consequences; do not port DFU StateManager architecture.
F112,Serializable save/load pipeline,"`Game/Serialization/SaveLoadManager.cs`, `SerializablePlayer.cs`, `SerializableEnemy.cs`, `SerializableLootContainer.cs`, `SerializableActionDoor.cs`, `SerializableGameObject.cs`, `SerializableStateManager.cs`","Save/load logic plus per-object snapshots for player, enemies, loot, doors, state.",Partial — Engine-owned envelope via `ProductStateStore` in `Host/WorldRpgSaveStore.cs` + `Rulesets.Daggerfall/DaggerfallSavePayload.cs` (player/actors/inventory/corpses/cooldowns); no per-door/enemy DFU parity,E,2,"H,D,K",F112,"Extend current envelope/payload for dynamic actors, locations, doors, effects, quests and service state; no Unity serialization."
F113,Classic save records,"`API/Save/SaveTree.cs`, `SaveGames.cs`, `CharacterRecord.cs`, `ItemRecord.cs`, `SaveVars.cs`, `GuildMembershipRecord.cs`","Low-level classic SAVE format records: tree, character, items, guilds, global vars.","Partial — equivalent meaning in `Rulesets.Daggerfall/DaggerfallSavePayload.cs` via Engine persistence, not classic binary shape",A,2,"D,I",F113,Preserve meaningful character/item/guild/world state in Rusty saves; classic binary save interoperability excluded by baseline.
F114,Contextual music director,`Game/SongManager.cs`,"MIDI songs selected by climate, location, season, time of day.","Absent — Engine `Audio` owns clips/voices/playback, not direction; no product music director (nearest `Rulesets.Daggerfall/DaggerfallTuning.cs` volume/pitch only)",M,12,"D,P,E",F114,Contextual track choice and loop lifecycle from admitted ordinary audio; separate bounded long-duration audio exercise.
F115,Song catalog enum,`SongFiles.cs`,Enum of all songs in MIDI.BSA.,Absent — no MIDI.BSA catalog (`Import/Arena2/SoundArchiveDecoder.cs` covers DAGGER.SND only),X,12,"D,I",F115,MIDI.BSA song enum/playback compatibility excluded; ordinary music uses content IDs under F114.
F116,Sound-clip catalog enum,`SoundClips.cs`,Enum identifying classic sound clips.,Import-only — `Import/Arena2/SoundArchiveDecoder.cs` numeric-BSA clips; no runtime clip catalog,E,3,"I,P,D",F116,Named/typed classic sound identity and complete cue mappings over current DAGGER.SND import.
F117,Sound importer,`SoundReader.cs`,Imports classic sounds into Unity AudioClips.,Import-only — `Import/Arena2/SoundArchiveDecoder.cs` decodes offline; playback via Engine Audio (`Presentation/PrivateersHoldAppearance.cs`),A,3,"I,E",F117,Reuse offline sound decoder/publication; exclude Unity AudioClip importer and use Engine playback.
F118,Ambient audio/visual effects,`Game/AmbientEffectsPlayer.cs`,Random-interval ambient sounds and timed visuals (e.g. lightning).,Absent — nearest `Presentation/PrivateersHoldAppearance.cs` one-shot presentation audio,M,8,"D,P,E",F118,"Ambient selection/timing/lightning cues via game state and Engine audio/appearance, not a second timer."
F119,Material/image importer,`MaterialReader.cs`,Imports classic images into Unity materials.,Import-only — `Import/Arena2/TextureArchiveDecoder.cs` + `PaletteDecoder.cs` + `Normalization/SpriteAtlasNormalizer.cs`,A,3,"I,E",F119,Reuse texture/palette/image normalization; exclude Unity materials and material reader topology.
F120,Mesh importer,`MeshReader.cs`,Imports classic 3D models into Unity Meshes.,Import-only — `Import/Arena2/Arch3dDecoder.cs` + `Arena2/RdbDecoder.cs` (source units retained),A,3,"I,E",F120,"Reuse ARCH3D/RDB decoding/publication; complete needed model attributes and resources, exclude Unity Mesh objects."
F121,Texture archive reader,`Utility/TextureReader.cs`,Loads TEXTURE.xxx archives as Texture2D.,Import-only — `Import/Arena2/TextureArchiveDecoder.cs` + `Normalization/MediaManifestNormalizer.cs`,E,3,"I,P",F121,Complete texture archive coverage/variants using current decoder and publication; no Texture2D runtime reader.
F122,General image reader,`Utility/ImageReader.cs`,Uniform classic-image reader for direct-to-texture use (UI etc.).,Import-only — `Import/Arena2/ImgDecoder.cs` + `Arena2/PaletteDecoder.cs`,E,3,"I,P,U",F122,Normalize required image/UI records with current IMG/palette/media paths; adapt DOM presentation.
F123,Model combiner,`Utility/ModelCombiner.cs`,Merges classic model data into combined meshes.,Import-only — `Import/Normalization/DungeonNormalizer.cs` + `DungeonSpatialPublication.cs` merge blocks offline,A,3,"I,E",F123,Reuse offline geometry publication and Engine resource batching where applicable; no donor ModelCombiner class port.
F124,Retro rendering mode,"`Utility/RetroRenderer.cs`, `RetroPresentation.cs`",Retro-mode render settings plus final viewport presentation.,Absent — rendering is Engine-owned; nearest `Presentation/PrivateersHoldAppearance.cs`,X,12,E,F124,DFU retro postprocess/viewport mode is outside baseline; classic game art remains included and no downstream renderer.
F125,Texture atlases,"`Utility/TextureAtlasBuilder.cs`, `TerrainAtlasBuilder.cs`",Archive texture atlases; terrain atlas export/load.,Import-only — `Import/Normalization/SpriteAtlasNormalizer.cs` + `Arena2DungeonMediaPublication.cs` + `content/worldrpg/imports/privateers-hold/media/classic/manifest.json`,E,3,"I,P,E",F125,Extend atlas publication to full supported sprite/terrain/media corpus; Engine owns playback/realization.
F126,Floating origin,`Utility/FloatingOrigin.cs`,Re-centers world at map-pixel boundaries for float precision.,Absent (Engine-unused) — upstream `IWorldOriginService` rebase mechanism exists but product never calls it (single scene); nearest `Kit/Controls/SpatialMovementSystem.cs`,A,4,"K,D,E",F126,Use verified Engine origin-rebase capability for exterior traversal; do not reproduce FloatingOrigin machinery.
F127,Camera clear management,`Utility/CameraClearManager.cs`,Switches camera clear mode between interior and exterior.,Absent — nearest `Kit/Controls/FirstPersonCameraSystem.cs`; no interior/exterior switch,A,4,"D,E",F127,"Interior/exterior camera/background policy through Engine camera/presentation, not Unity camera clear handler."
F128,3D mesh archive format,`API/Arch3dFile.cs`,Reads ARCH3D.BSA mesh data.,Import-only — `Import/Arena2/Arch3dDecoder.cs`,E,3,"I,P",F128,Extend existing ARCH3D archive decoding to the supported model corpus and normalized records.
F129,Dungeon/city block format,`API/DFBlock.cs` (+ `API/BlocksFile.cs`),Type-safe struct over native RDB/RMB block records.,Import-only — `Import/Arena2/RdbDecoder.cs` + `Normalization/DungeonNormalizer.cs`,E,3,"I,P",F129,RDB decoding exists; account separately for RMB outdoor/interior structures and linked records.
F130,Location and region records,"`API/DFLocation.cs`, `API/DFRegion.cs`",Cities/dungeons/buildings and region location tables.,Import-only — `Import/Arena2/MapsDecoder.cs` (location facts + linked RDB refs),E,3,"I,P",F130,"Complete region/location/building/dungeon records, names and references beyond Privateer's Hold."
F131,World-map archive,`API/MapsFile.cs`,"Reads MAPS.BSA: region enumeration, layouts, climates.",Import-only — `Import/Arena2/MapsDecoder.cs`,E,3,"I,P",F131,Complete MAPS.BSA metadata/layout/height/climate sources through current decoder where applicable.
F132,Faction data,`API/FactionFile.cs`,Reads FACTION.TXT faction records.,Absent — only incidental faction-byte handling in `Content/DaggerfallBaseContent.cs`; no faction table,M,3,"I,P,D",F132,Normalize faction hierarchy/relationships/regions and stable IDs; runtime policy consumes pack records.
F133,Item templates,`API/ItemsFile.cs`,Native FALL.EXE item templates.,Partial — `Content/DaggerfallBaseContent.cs` (`ReadItems`) + `content/worldrpg/content-packs/daggerfall.base.pack.json`,E,3,"I,P,D",F133,Expand current item definitions to all selected classic template groups and derived item meanings.
F134,Monster data,`API/MonsterFile.cs`,Reads MONSTER.BSA monster records (WIP upstream).,Partial — `Import/Arena2/MobileSourceMetadata.cs` (DFU `EnemyBasics`-derived mobile facts) + base-pack actors,E,3,"I,P,D",F134,Expand current mobile metadata/actors; distinguish DFU-derived tables from raw MONSTER.BSA support claims.
F135,Reader-to-Unity bridge,`Utility/ContentReader.cs`,Interface between API readers and Unity (`MapSummary` etc.).,Import-only — `Import/Normalization/DungeonNormalizer.cs` + `Normalized/NormalizedContracts.cs` bridge to normalized packs,X,3,I,F135,Exclude reader-to-Unity bridge; existing normalized contracts are the product-facing representation.
F136,Daggerfall calendar clock,`Utility/DaggerfallDateTime.cs`,"Game calendar with fixed 30-day months, seasons, timescale.",Absent — no calendar/clock; nearest `Rulesets.Daggerfall/DaggerfallState.cs` (no time/date fields),M,2,D,F136,Calendar dates/seasons/time scale and persisted elapsed-time advancement shared by all consumers.
F137,Classic RNG reimplementation,`API/DFRandom.cs`,Reimplements classic random sequences (e.g. building names) for parity.,Import-only — `Import/Arena2/ClassicDaggerfallRandom.cs` offline only; runtime uses Engine `IRandomService` in `DaggerfallSession.cs`,R,3,"I,E,D",F137,Keep classic deterministic import transform RNG; runtime randomness uses Engine. Exact runtime classic sequence needs explicit task decision.
F138,Action input bindings,`Game/InputManager.cs`,Singleton mapping game actions to keys.,"Partial — `Kit/Controls/PlayerInputSystem.cs` + `PlayerControlState.cs` (Engine-admitted input, no DFU key-bind schema)",E,6,"K,D",F138,"Semantic bindings/modes, normalized input and control settings through existing player input owner."
F139,Controls settings + hotkeys,"`Game/ControlsConfigManager.cs`, `Game/HotkeySequence.cs`",Controls-settings bindings and multi-key hotkey detection.,Partial — adjustable values in `content/worldrpg/tuning/daggerfall.defaults.tuning.json`; no hotkey-sequence detector,E,12,"D,K,U",F139,Rebinding/settings/hotkey semantics needed for included actions; exclude Unity controls configuration topology.
F140,Mouse look,`Game/PlayerMouseLook.cs`,Mouse-look camera with smoothing setting.,Covered — `Kit/Controls/FirstPersonCameraSystem.cs` over Engine `CameraView`; look integration via managed `Look.Integrate` in `Kit/Controls/PlayerInputSystem.cs`,R,6,"K,E",F140,Reuse Engine Look/CameraView and existing integration; no second mouselook implementation.
F141,Player activation/interaction,`Game/PlayerActivate.cs`,"Raycast activation of objects, loot-spawn events.",Partial — corpse `IsInteractable` policy in `Modules/Loot/DaggerfallCorpseLootModule.cs`; no raycast activation,E,6,"K,D",F024,"Same activation behavior as F024, including perception query and contextual target dispatch."
